parcel_number,taxable_building,taxable_land,market_value,zip_code
582188800,95030,57870,192900,19116
582203100,134930,74970,249900,19116
582451800,108960,63840,212800,19116
582521416,149640,79560,265200,19116
888220265,49217,6083,55300,19119
91021700,205615,36285,241900,19119
223135900,113255,27045,180300,19119
222226200,116280,20520,136800,19119
223153700,187375,40125,267500,19119
222081100,37572,15328,92900,19119
91060800,328730,65070,433800,19119
223157400,204375,43125,287500,19119
222179900,267495,47205,314700,19119
223105400,324245,63855,425700,19119
91063000,448920,86280,575200,19119
92090400,107050,25950,173000,19119
223189100,197200,34800,232000,19119
92075200,152950,34050,227000,19119
882270080,334960,83740,418700,19119
223085800,303995,60705,404700,19119
871023050,132560,39840,199200,19119
222029100,87586,22414,150000,19119
223173900,205990,43410,289400,19119
222254900,344880,67920,452800,19119
221235800,0,0,10800,19119
221271400,55880,16920,112800,19119
222197510,0,0,26400,19119
221223800,77860,13740,91600,19119
223093000,340035,67065,447100,19119
222114900,55649,16851,112500,19119
223013400,167145,36555,243700,19119
92035800,138840,31560,210400,19119
222248000,128603,29697,198300,19119
221027700,109175,26325,175500,19119
221245200,59535,17565,117100,19119
91209710,307007,79293,426300,19119
223036100,144188,47566,333800,19119
223239100,400470,77730,518200,19119
221080700,93633,16467,110100,19119
223273900,418065,80835,538900,19119
223197600,115365,29835,198900,19119
221120300,37945,13755,91700,19119
221255800,80920,14280,95200,19119
221054000,240040,42360,282400,19119
222265400,208030,43770,291800,19119
881152100,970500,323500,1294000,19119
221183900,121585,28515,190100,19119
222113600,117760,27840,185600,19119
92052700,219640,38760,258400,19119
223257310,342670,67530,450200,19119
223278000,359585,70515,470100,19119
223061500,119765,21135,140900,19119
222057300,71265,19635,130900,19119
222082400,51330,14370,95800,19119
222179500,141610,24990,166600,19119
223073500,200500,39500,240000,19119
92088500,123030,28770,191800,19119
221302200,95660,23940,159600,19119
221233900,84150,14850,99000,19119
221162200,82705,14595,97300,19119
91174800,260840,50760,338400,19119
222095400,122060,21540,143600,19119
221032800,221224,46076,307300,19119
92026400,144450,32550,217000,19119
222058700,82344,21556,143900,19119
91019500,271660,47940,319600,19119
223085800,303995,60705,404700,19119
222064800,81855,14445,96300,19119
